health_system,variable,iter,chain,mean,variance
A,race,1,Chain 1,1,0
A,race,1,Chain 2,1,0
A,race,1,Chain 3,1,0
A,race,1,Chain 4,1.75,2.25
A,race,1,Chain 5,1,0
A,race,2,Chain 1,1,0
A,race,2,Chain 2,1.75,2.25
A,race,2,Chain 3,2.25,6.25
A,race,2,Chain 4,1,0
A,race,2,Chain 5,1,0
A,race,3,Chain 1,1,0
A,race,3,Chain 2,1.75,2.25
A,race,3,Chain 3,1.25,0.25
A,race,3,Chain 4,1.25,0.25
A,race,3,Chain 5,2.25,3.58333333333333
A,race,4,Chain 1,1.25,0.25
A,race,4,Chain 2,1.75,2.25
A,race,4,Chain 3,1,0
A,race,4,Chain 4,1.75,0.916666666666667
A,race,4,Chain 5,1.25,0.25
A,race,5,Chain 1,1.25,0.25
A,race,5,Chain 2,1.5,1
A,race,5,Chain 3,1,0
A,race,5,Chain 4,1.75,2.25
A,race,5,Chain 5,1,0
A,ethnicity,1,Chain 1,1.18181818181818,0.163636363636364
A,ethnicity,1,Chain 2,1.18181818181818,0.163636363636364
A,ethnicity,1,Chain 3,1.36363636363636,0.254545454545455
A,ethnicity,1,Chain 4,1.27272727272727,0.218181818181818
A,ethnicity,1,Chain 5,1.36363636363636,0.254545454545455
A,ethnicity,2,Chain 1,1.45454545454545,0.272727272727273
A,ethnicity,2,Chain 2,1.36363636363636,0.254545454545455
A,ethnicity,2,Chain 3,1.27272727272727,0.218181818181818
A,ethnicity,2,Chain 4,1.27272727272727,0.218181818181818
A,ethnicity,2,Chain 5,1.36363636363636,0.254545454545455
A,ethnicity,3,Chain 1,1.45454545454545,0.272727272727273
A,ethnicity,3,Chain 2,1,0
A,ethnicity,3,Chain 3,1.36363636363636,0.254545454545455
A,ethnicity,3,Chain 4,1.09090909090909,0.0909090909090909
A,ethnicity,3,Chain 5,1.36363636363636,0.254545454545455
A,ethnicity,4,Chain 1,1.45454545454545,0.272727272727273
A,ethnicity,4,Chain 2,1.27272727272727,0.218181818181818
A,ethnicity,4,Chain 3,1.36363636363636,0.254545454545455
A,ethnicity,4,Chain 4,1.18181818181818,0.163636363636364
A,ethnicity,4,Chain 5,1.36363636363636,0.254545454545455
A,ethnicity,5,Chain 1,1.54545454545455,0.272727272727273
A,ethnicity,5,Chain 2,1.27272727272727,0.218181818181818
A,ethnicity,5,Chain 3,1.36363636363636,0.254545454545455
A,ethnicity,5,Chain 4,1.36363636363636,0.254545454545455
A,ethnicity,5,Chain 5,1.45454545454545,0.272727272727273
A,bmi,1,Chain 1,30.386330866532,52.2078131527588
A,bmi,1,Chain 2,30.6866643826212,47.127018746326
A,bmi,1,Chain 3,29.6619622815559,39.7946484924167
A,bmi,1,Chain 4,30.7598392085039,53.2207485012064
A,bmi,1,Chain 5,30.1310250416125,37.1978470927024
A,bmi,2,Chain 1,31.2015804374728,43.1439577556694
A,bmi,2,Chain 2,29.9777628685017,56.4557025940112
A,bmi,2,Chain 3,30.1979684945378,40.8337235663739
A,bmi,2,Chain 4,29.3048242647399,49.6153840363984
A,bmi,2,Chain 5,29.5906194730373,50.7559907579512
A,bmi,3,Chain 1,31.1601725093128,50.7235792360376
A,bmi,3,Chain 2,29.897114882191,40.9539042954623
A,bmi,3,Chain 3,29.550582094427,48.6931293940546
A,bmi,3,Chain 4,31.8538605398217,46.865049206424
A,bmi,3,Chain 5,30.6128907967352,63.1910201883755
A,bmi,4,Chain 1,30.2760021252609,49.0116882703015
A,bmi,4,Chain 2,30.820554831203,55.2132800285963
A,bmi,4,Chain 3,30.7462534175431,52.641258984477
A,bmi,4,Chain 4,32.1808856599267,44.1816645676073
A,bmi,4,Chain 5,30.5768001664883,57.1708154028049
A,bmi,5,Chain 1,29.9349539971246,31.468162520505
A,bmi,5,Chain 2,29.8677495275047,50.8944026594004
A,bmi,5,Chain 3,31.1372121081197,63.7447903891471
A,bmi,5,Chain 4,29.6256229126606,46.1052333743632
A,bmi,5,Chain 5,30.039651415773,45.8581662903815
A,marital_status,1,Chain 1,1.6,0.3
A,marital_status,1,Chain 2,1.6,0.3
A,marital_status,1,Chain 3,2.4,1.3
A,marital_status,1,Chain 4,1.4,0.3
A,marital_status,1,Chain 5,1.8,1.2
A,marital_status,2,Chain 1,1.8,0.7
A,marital_status,2,Chain 2,1.6,0.8
A,marital_status,2,Chain 3,1.6,0.3
A,marital_status,2,Chain 4,1.4,0.3
A,marital_status,2,Chain 5,1.6,1.8
A,marital_status,3,Chain 1,2,1
A,marital_status,3,Chain 2,1.4,0.3
A,marital_status,3,Chain 3,1.6,0.3
A,marital_status,3,Chain 4,2,1.5
A,marital_status,3,Chain 5,2,0.5
A,marital_status,4,Chain 1,1.8,0.2
A,marital_status,4,Chain 2,1.2,0.2
A,marital_status,4,Chain 3,1.2,0.2
A,marital_status,4,Chain 4,1.6,1.8
A,marital_status,4,Chain 5,1.8,0.7
A,marital_status,5,Chain 1,2,0
A,marital_status,5,Chain 2,2,0.5
A,marital_status,5,Chain 3,1.4,0.3
A,marital_status,5,Chain 4,2.2,1.2
A,marital_status,5,Chain 5,2,1.5
A,zip3_adi,1,Chain 1,51.37317806,134.812294111618
A,zip3_adi,1,Chain 2,37.2337086233333,44.8874206733667
A,zip3_adi,1,Chain 3,56.4968536933333,7.48790211783577
A,zip3_adi,1,Chain 4,34.8923053833333,82.2220919788073
A,zip3_adi,1,Chain 5,44.30531142,163.843826041458
A,zip3_adi,2,Chain 1,34.8923053833333,82.2220919788073
A,zip3_adi,2,Chain 2,39.13030632,269.224851989098
A,zip3_adi,2,Chain 3,47.6732138066667,81.1837403266498
A,zip3_adi,2,Chain 4,50.12485695,61.657914544777
A,zip3_adi,2,Chain 5,48.92292905,93.9319734886972
A,zip3_adi,3,Chain 1,48.6606595433333,68.4171936765076
A,zip3_adi,3,Chain 2,39.7488943666667,102.668472431346
A,zip3_adi,3,Chain 3,41.64717357,113.017479841317
A,zip3_adi,3,Chain 4,44.65509819,118.735744385332
A,zip3_adi,3,Chain 5,42.46723141,207.795930513794
A,zip3_adi,4,Chain 1,48.3208823666667,261.432276981801
A,zip3_adi,4,Chain 2,42.46723141,207.795930513794
A,zip3_adi,4,Chain 3,39.13030632,269.224851989098
A,zip3_adi,4,Chain 4,36.4119692766667,136.884732657724
A,zip3_adi,4,Chain 5,43.4335313633333,202.482087350695
A,zip3_adi,5,Chain 1,49.5926387933333,53.9848312159962
A,zip3_adi,5,Chain 2,43.15090218,190.305950509376
A,zip3_adi,5,Chain 3,51.6412660933333,124.245076621555
A,zip3_adi,5,Chain 4,41.89997283,213.525151915281
A,zip3_adi,5,Chain 5,55.3583797366667,22.1680688434746
A,temp_c_mean,1,Chain 1,36.8529572739274,0.702493896571577
A,temp_c_mean,1,Chain 2,36.7892316321954,0.769722835646194
A,temp_c_mean,1,Chain 3,36.9719629794091,0.63077217976472
A,temp_c_mean,1,Chain 4,37.1080678004529,0.823411968818504
A,temp_c_mean,1,Chain 5,37.042563522395,0.779566905284771
A,temp_c_mean,2,Chain 1,36.7723739968951,0.726281688608851
A,temp_c_mean,2,Chain 2,36.855611092413,0.62308048391538
A,temp_c_mean,2,Chain 3,36.8468500782785,0.616139200432743
A,temp_c_mean,2,Chain 4,36.9293657028922,0.774761315515914
A,temp_c_mean,2,Chain 5,36.7930372429006,0.675158014154236
A,temp_c_mean,3,Chain 1,36.8173235185721,0.619120185448792
A,temp_c_mean,3,Chain 2,36.8616967591103,0.575638117992323
A,temp_c_mean,3,Chain 3,36.745685234552,0.770306003177408
A,temp_c_mean,3,Chain 4,37.0491374114868,0.693428221658601
A,temp_c_mean,3,Chain 5,36.8193678060192,0.543537931249958
A,temp_c_mean,4,Chain 1,36.7210291951121,0.64585366227359
A,temp_c_mean,4,Chain 2,36.8037351491277,0.572215505166033
A,temp_c_mean,4,Chain 3,36.858182675295,0.628654096555319
A,temp_c_mean,4,Chain 4,36.8975734497749,0.746598842368972
A,temp_c_mean,4,Chain 5,36.8565931644632,0.662932882653707
A,temp_c_mean,5,Chain 1,36.9545325895886,0.667716030713226
A,temp_c_mean,5,Chain 2,36.7034128878777,0.587313942954707
A,temp_c_mean,5,Chain 3,36.6101847696358,0.493065941732383
A,temp_c_mean,5,Chain 4,36.9292034992285,0.722679126214309
A,temp_c_mean,5,Chain 5,36.7666794648319,0.432412650552008
A,heart_rate_mean,1,Chain 1,77.4574506144998,389.930613102592
A,heart_rate_mean,1,Chain 2,77.7665124101504,334.036102844225
A,heart_rate_mean,1,Chain 3,80.5812757968731,405.411614799693
A,heart_rate_mean,1,Chain 4,78.3014135400479,412.771278657681
A,heart_rate_mean,1,Chain 5,77.788467701601,366.061747349018
A,heart_rate_mean,2,Chain 1,81.7210977420329,364.233973553887
A,heart_rate_mean,2,Chain 2,84.5446274593991,447.080171987715
A,heart_rate_mean,2,Chain 3,82.8063761104962,357.504894523715
A,heart_rate_mean,2,Chain 4,81.1422399573185,423.238444492727
A,heart_rate_mean,2,Chain 5,82.4012659018362,397.384334019108
A,heart_rate_mean,3,Chain 1,88.2801242236025,417.883102484472
A,heart_rate_mean,3,Chain 2,81.1278652674348,433.855389493098
A,heart_rate_mean,3,Chain 3,84.1625066071702,444.853021646892
A,heart_rate_mean,3,Chain 4,79.9499293351514,415.781974431434
A,heart_rate_mean,3,Chain 5,81.4195307118579,410.09829017223
A,heart_rate_mean,4,Chain 1,85.3784679089027,436.867686249137
A,heart_rate_mean,4,Chain 2,84.3642758140782,382.017129932896
A,heart_rate_mean,4,Chain 3,85.8817182676608,429.353934733058
A,heart_rate_mean,4,Chain 4,80.4895568167432,372.867291707561
A,heart_rate_mean,4,Chain 5,81.5322213830453,428.922132276389
A,heart_rate_mean,5,Chain 1,82.3678983558484,368.662434138353
A,heart_rate_mean,5,Chain 2,77.5002001240935,389.358898962733
A,heart_rate_mean,5,Chain 3,82.6752819946459,424.038646396052
A,heart_rate_mean,5,Chain 4,84.9538960174249,419.826513796324
A,heart_rate_mean,5,Chain 5,81.3068322981366,452.42851552795
A,resp_rate_mean,1,Chain 1,25.0216157797143,304.023479554049
A,resp_rate_mean,1,Chain 2,17.3780437040169,149.131670459795
A,resp_rate_mean,1,Chain 3,18.5061557556233,178.477585625193
A,resp_rate_mean,1,Chain 4,18.3032664147623,177.659563420128
A,resp_rate_mean,1,Chain 5,20.5644483624647,151.261550591386
A,resp_rate_mean,2,Chain 1,20.9754160388582,190.737887732864
A,resp_rate_mean,2,Chain 2,20.8718503026614,220.850361965328
A,resp_rate_mean,2,Chain 3,19.9935191772927,228.037653354541
A,resp_rate_mean,2,Chain 4,22.4430015133593,250.258949319487
A,resp_rate_mean,2,Chain 5,19.7159611502919,208.175814349961
A,resp_rate_mean,3,Chain 1,18.3031926944883,171.600528175395
A,resp_rate_mean,3,Chain 2,20.0127836977864,247.650134702916
A,resp_rate_mean,3,Chain 3,21.7731997944117,223.532951386418
A,resp_rate_mean,3,Chain 4,18.9136437069941,185.870922123439
A,resp_rate_mean,3,Chain 5,21.4325859100357,275.783116784052
A,resp_rate_mean,4,Chain 1,19.2185691381033,250.136649766897
A,resp_rate_mean,4,Chain 2,20.4740614949958,231.243927035261
A,resp_rate_mean,4,Chain 3,24.1356146579877,234.245066631642
A,resp_rate_mean,4,Chain 4,21.8850131417613,212.546516009601
A,resp_rate_mean,4,Chain 5,20.7500625638418,204.588188845416
A,resp_rate_mean,5,Chain 1,18.03008883701,170.382344712147
A,resp_rate_mean,5,Chain 2,20.9975192995456,199.049962797432
A,resp_rate_mean,5,Chain 3,20.5552802057123,219.427892688439
A,resp_rate_mean,5,Chain 4,20.0685669753312,204.238901944085
A,resp_rate_mean,5,Chain 5,19.8763960646593,183.03375941791
A,syst_bp_mean,1,Chain 1,134.388311688312,515.164829810712
A,syst_bp_mean,1,Chain 2,129.567640692641,536.980915893293
A,syst_bp_mean,1,Chain 3,132.333062770563,613.093330082454
A,syst_bp_mean,1,Chain 4,131.395995670996,469.754254920824
A,syst_bp_mean,1,Chain 5,130.159090909091,617.140646662706
A,syst_bp_mean,2,Chain 1,128.940584415584,544.415417303285
A,syst_bp_mean,2,Chain 2,129.093073593074,611.619457884164
A,syst_bp_mean,2,Chain 3,129.807359307359,603.630403002952
A,syst_bp_mean,2,Chain 4,128.836958874459,553.117801312023
A,syst_bp_mean,2,Chain 5,129.709956709957,571.991940884098
A,syst_bp_mean,3,Chain 1,130.165043290043,588.723354282791
A,syst_bp_mean,3,Chain 2,128.919967532468,504.203326451372
A,syst_bp_mean,3,Chain 3,129.361363636364,534.572289232191
A,syst_bp_mean,3,Chain 4,130.848214285714,593.134047716309
A,syst_bp_mean,3,Chain 5,132.880681818182,582.248571808774
A,syst_bp_mean,4,Chain 1,134.142586580087,551.612989798192
A,syst_bp_mean,4,Chain 2,134.466829004329,575.077527660475
A,syst_bp_mean,4,Chain 3,131.218344155844,573.241059713027
A,syst_bp_mean,4,Chain 4,127.463203463203,589.926378632261
A,syst_bp_mean,4,Chain 5,136.385443722944,511.391555520777
A,syst_bp_mean,5,Chain 1,127.72895021645,504.343535945944
A,syst_bp_mean,5,Chain 2,132.993073593074,509.233949532675
A,syst_bp_mean,5,Chain 3,128.904761904762,569.316215375039
A,syst_bp_mean,5,Chain 4,129.807359307359,574.648558413264
A,syst_bp_mean,5,Chain 5,129.793614718615,538.2921603052
A,diast_bp_mean,1,Chain 1,77.6014084507042,253.445577198415
A,diast_bp_mean,1,Chain 2,74.8223004694836,239.842816734925
A,diast_bp_mean,1,Chain 3,75.9234154929577,227.555196939617
A,diast_bp_mean,1,Chain 4,80.9394366197183,229.193185495955
A,diast_bp_mean,1,Chain 5,74.3528169014085,242.148088935504
A,diast_bp_mean,2,Chain 1,73.0631455399061,227.349183731229
A,diast_bp_mean,2,Chain 2,77.4211267605634,238.852411014551
A,diast_bp_mean,2,Chain 3,74.3320422535211,221.779565894183
A,diast_bp_mean,2,Chain 4,76.7068075117371,228.167463179392
A,diast_bp_mean,2,Chain 5,74.4291079812207,229.14511992364
A,diast_bp_mean,3,Chain 1,75.4605633802817,215.191924660651
A,diast_bp_mean,3,Chain 2,77.3117370892019,232.529207205407
A,diast_bp_mean,3,Chain 3,77.6180751173709,230.963083108581
A,diast_bp_mean,3,Chain 4,77.5276995305164,237.36690262933
A,diast_bp_mean,3,Chain 5,75.5920187793427,229.891031199014
A,diast_bp_mean,4,Chain 1,74.8588615023474,233.818268533086
A,diast_bp_mean,4,Chain 2,76.3516431924883,242.854918478563
A,diast_bp_mean,4,Chain 3,76.5915492957747,239.618651483368
A,diast_bp_mean,4,Chain 4,78.0988262910798,221.45942335653
A,diast_bp_mean,4,Chain 5,75.5100938967136,205.35492497142
A,diast_bp_mean,5,Chain 1,74.4239436619718,217.233890720208
A,diast_bp_mean,5,Chain 2,76.6079812206573,240.323939000433
A,diast_bp_mean,5,Chain 3,75.8464788732394,249.761134085839
A,diast_bp_mean,5,Chain 4,74.1877934272301,231.037328272234
A,diast_bp_mean,5,Chain 5,74.8279342723005,223.31090050944
A,o2_sat_mean,1,Chain 1,95.5937060495839,11.2662709701916
A,o2_sat_mean,1,Chain 2,95.2026244633559,9.37067807237761
A,o2_sat_mean,1,Chain 3,95.4303401263112,14.2172803142675
A,o2_sat_mean,1,Chain 4,95.8041743372379,11.3390857721995
A,o2_sat_mean,1,Chain 5,96.4212004264027,8.33059546256944
A,o2_sat_mean,2,Chain 1,95.6895221489498,10.5021299136774
A,o2_sat_mean,2,Chain 2,95.1468207150056,9.59866924771385
A,o2_sat_mean,2,Chain 3,95.5067970929196,10.554594002248
A,o2_sat_mean,2,Chain 4,95.4266218397853,10.7316744357782
A,o2_sat_mean,2,Chain 5,95.7337336865316,10.0554312140779
A,o2_sat_mean,3,Chain 1,95.5841921448146,10.9606311179125
A,o2_sat_mean,3,Chain 2,95.2241403982868,11.0588785460059
A,o2_sat_mean,3,Chain 3,95.0538589827858,11.4522306914774
A,o2_sat_mean,3,Chain 4,95.6132324332558,10.6769955074032
A,o2_sat_mean,3,Chain 5,95.316112859211,12.7384007764641
A,o2_sat_mean,4,Chain 1,95.0292654215048,12.6979228654407
A,o2_sat_mean,4,Chain 2,94.6528798092674,9.056684369473
A,o2_sat_mean,4,Chain 3,95.1561934878568,12.4600681729631
A,o2_sat_mean,4,Chain 4,95.2420604590167,12.9583968191592
A,o2_sat_mean,4,Chain 5,95.999156448104,9.49259459929463
A,o2_sat_mean,5,Chain 1,95.5478114142908,11.7187065097373
A,o2_sat_mean,5,Chain 2,94.9020893504098,10.2533145356732
A,o2_sat_mean,5,Chain 3,95.4103070451754,13.7719798656287
A,o2_sat_mean,5,Chain 4,95.9928623943863,11.9688067803109
A,o2_sat_mean,5,Chain 5,95.5874201843391,11.3241197550911
B,race,1,Chain 1,2.25,6.25
B,race,1,Chain 2,1,0
B,race,1,Chain 3,1.5,1
B,race,1,Chain 4,1,0
B,race,1,Chain 5,2.75,2.25
B,race,2,Chain 1,1,0
B,race,2,Chain 2,1.25,0.25
B,race,2,Chain 3,1,0
B,race,2,Chain 4,1,0
B,race,2,Chain 5,1.75,2.25
B,race,3,Chain 1,1.5,1
B,race,3,Chain 2,1.75,2.25
B,race,3,Chain 3,1,0
B,race,3,Chain 4,1.75,2.25
B,race,3,Chain 5,1.75,2.25
B,race,4,Chain 1,1.5,1
B,race,4,Chain 2,1,0
B,race,4,Chain 3,1,0
B,race,4,Chain 4,1.75,0.916666666666667
B,race,4,Chain 5,1,0
B,race,5,Chain 1,2.25,6.25
B,race,5,Chain 2,3,6
B,race,5,Chain 3,1,0
B,race,5,Chain 4,2,2
B,race,5,Chain 5,1,0
B,ethnicity,1,Chain 1,1.2,0.177777777777778
B,ethnicity,1,Chain 2,1.7,0.233333333333333
B,ethnicity,1,Chain 3,1.2,0.177777777777778
B,ethnicity,1,Chain 4,1.6,0.266666666666667
B,ethnicity,1,Chain 5,1.4,0.266666666666667
B,ethnicity,2,Chain 1,1.2,0.177777777777778
B,ethnicity,2,Chain 2,1.4,0.266666666666667
B,ethnicity,2,Chain 3,1.4,0.266666666666667
B,ethnicity,2,Chain 4,1.4,0.266666666666667
B,ethnicity,2,Chain 5,1.7,0.233333333333333
B,ethnicity,3,Chain 1,1.6,0.266666666666667
B,ethnicity,3,Chain 2,1.4,0.266666666666667
B,ethnicity,3,Chain 3,1.3,0.233333333333333
B,ethnicity,3,Chain 4,1.4,0.266666666666667
B,ethnicity,3,Chain 5,1.4,0.266666666666667
B,ethnicity,4,Chain 1,1.5,0.277777777777778
B,ethnicity,4,Chain 2,1.5,0.277777777777778
B,ethnicity,4,Chain 3,1.4,0.266666666666667
B,ethnicity,4,Chain 4,1.5,0.277777777777778
B,ethnicity,4,Chain 5,1.5,0.277777777777778
B,ethnicity,5,Chain 1,1.4,0.266666666666667
B,ethnicity,5,Chain 2,1.4,0.266666666666667
B,ethnicity,5,Chain 3,1.4,0.266666666666667
B,ethnicity,5,Chain 4,1.4,0.266666666666667
B,ethnicity,5,Chain 5,1.5,0.277777777777778
B,bmi,1,Chain 1,29.8584893894336,36.9945777555043
B,bmi,1,Chain 2,29.7793482873304,34.2777173026529
B,bmi,1,Chain 3,29.7259962195483,46.8267750700851
B,bmi,1,Chain 4,31.453097422232,60.0086208436687
B,bmi,1,Chain 5,30.2284213753777,40.3704264829641
B,bmi,2,Chain 1,29.5892792618291,43.8515110908681
B,bmi,2,Chain 2,29.5707627106829,37.6633895609229
B,bmi,2,Chain 3,30.8865720995677,43.9571194459818
B,bmi,2,Chain 4,28.9931102580085,44.81971529784
B,bmi,2,Chain 5,29.3671872230368,28.2473902319038
B,bmi,3,Chain 1,29.7478529198962,34.0863879498936
B,bmi,3,Chain 2,28.9679024366917,26.8774262419415
B,bmi,3,Chain 3,29.8476066260314,40.1511194856626
B,bmi,3,Chain 4,31.1465882875205,45.4407138993132
B,bmi,3,Chain 5,29.6689034622602,35.2882023851808
B,bmi,4,Chain 1,30.5753502242992,53.6008458064941
B,bmi,4,Chain 2,29.5985786729273,39.0451435521008
B,bmi,4,Chain 3,29.7698269306165,41.9793797444717
B,bmi,4,Chain 4,30.6402442481277,51.9347180246548
B,bmi,4,Chain 5,29.7941669414375,53.0375926657467
B,bmi,5,Chain 1,29.8861819297952,41.3219272378649
B,bmi,5,Chain 2,30.3887347330822,42.7260803403232
B,bmi,5,Chain 3,29.5939672299795,35.7704000625238
B,bmi,5,Chain 4,29.7324028736658,45.6101161111729
B,bmi,5,Chain 5,30.4661305876808,58.4346578523669
B,marital_status,1,Chain 1,1.5,0.5
